S..No,item,itemLabel
128,http://www.wikidata.org/entity/Q4849703,Bala V. Balachandran
129,http://www.wikidata.org/entity/Q15723830,Kamalakanta Lenka
130,http://www.wikidata.org/entity/Q5006743,C. P. Joshi
131,http://www.wikidata.org/entity/Q16192728,Chinmoy Guha
132,http://www.wikidata.org/entity/Q111040149,Arumugam Gounder
133,http://www.wikidata.org/entity/Q6575090,Sarat Pujari
134,http://www.wikidata.org/entity/Q30106187,Sricharan Mohanty
135,http://www.wikidata.org/entity/Q30227500,Sudhindralal Roy
136,http://www.wikidata.org/entity/Q20908739,Kunjabihari Tripathy
137,http://www.wikidata.org/entity/Q107302264,Anurag Bhaskar
138,http://www.wikidata.org/entity/Q23071257,Naresh Guha
139,http://www.wikidata.org/entity/Q12987387,Rasamanikanar
140,http://www.wikidata.org/entity/Q24574682,Hansanarayan Bhattacharya
141,http://www.wikidata.org/entity/Q25624556,Bikram Singh Ghuman
142,http://www.wikidata.org/entity/Q25861159,Shiladitya DasSarma
143,http://www.wikidata.org/entity/Q28845791,Madhab Chandra Satpathy
144,http://www.wikidata.org/entity/Q113546462,Lakshmishwar Singha
145,http://www.wikidata.org/entity/Q31320041,Pathani Patnaik
146,http://www.wikidata.org/entity/Q20607606,Dr. Ravinder Ravi
147,http://www.wikidata.org/entity/Q46184108,Mayank Nalinkant Vahia
148,http://www.wikidata.org/entity/Q14566161,Subir Banerjee
149,http://www.wikidata.org/entity/Q25586659,Abu Sayeed Ayyub
150,http://www.wikidata.org/entity/Q5387505,Eric Simeon
151,http://www.wikidata.org/entity/Q16135779,T.C. Narayanan Nambiar
152,http://www.wikidata.org/entity/Q6962327,Nrusingprasad Kalidas Bhatt
153,http://www.wikidata.org/entity/Q50186427,Nibaran Chandra Bhattacharya
154,http://www.wikidata.org/entity/Q50810370,Tapodhir Bhattacharjee
155,http://www.wikidata.org/entity/Q51954224,Rajwinder Singh
156,http://www.wikidata.org/entity/Q5247812,Debabrata Sharma
157,http://www.wikidata.org/entity/Q47459759,D. Lourdu
158,http://www.wikidata.org/entity/Q28155012,Baba Iqbal Singh
159,http://www.wikidata.org/entity/Q50497695,Mahendranath Sarkar
160,http://www.wikidata.org/entity/Q112337369,Jagadish Chandra Bhattacharya
161,http://www.wikidata.org/entity/Q5076920,Charles Donovan
162,http://www.wikidata.org/entity/Q13009446,Vavilala Somayajulu
163,http://www.wikidata.org/entity/Q54806566,Nalinimohan Sanyal
164,http://www.wikidata.org/entity/Q117750090,Zainul Abideen Azmi
165,http://www.wikidata.org/entity/Q68484625,Dr C Naganna
166,http://www.wikidata.org/entity/Q68898447,KT Veerappa
167,http://www.wikidata.org/entity/Q68898857,Dr. Arviyas Sundaram
168,http://www.wikidata.org/entity/Q48600973,Kiran Shankar Roy
169,http://www.wikidata.org/entity/Q120836005,Ujjal Singh Bahri
170,http://www.wikidata.org/entity/Q60451604,Sridhara Das
171,http://www.wikidata.org/entity/Q30145842,Kailash Chandra Dash
172,http://www.wikidata.org/entity/Q64806585,Vijaysinh Chavda
173,http://www.wikidata.org/entity/Q26818510,Narayan Sahu
174,http://www.wikidata.org/entity/Q56641646,Kulvir Gojra
175,http://www.wikidata.org/entity/Q15724984,Mohapatra Nilamani Sahu
176,http://www.wikidata.org/entity/Q21087270,Sachidananda Mohanty
177,http://www.wikidata.org/entity/Q25643967,Rabindra Kumar Praharaj
178,http://www.wikidata.org/entity/Q15724759,Basant Kumar Satpathy
